CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,250","2,458.05","2,518.55",250,"13,800.00","3,500",0.60,0.70,"12,300",-0.05,0.70,65.62,"8,777","1,631","9,469",
,-,-,-,-,-,-,"1,250","2,375.85","2,466.75",450,"13,850.00",50,0.60,0.80,600,0.10,0.80,65.16,"4,844",324,963,
,-,-,-,-,-,-,"1,250","2,337.20","2,421.25",500,"13,900.00",600,0.60,0.75,600,-,0.75,63.44,"1,492",248,741,
,-,-,-,-,-,-,"2,250","2,276.65","2,396.40","1,000","13,950.00","3,700",0.50,0.95,"1,500",-0.20,0.50,59.77,"4,992",51,292,
,-,-,3,-,"2,240.15",767.65,"1,250","2,242.90","2,344.45",200,"14,000.00","7,700",0.65,0.70,"36,600",-0.20,0.65,59.98,"32,030","-8,371","41,680",
,-,-,-,-,-,-,"1,250","2,184.70","2,296.50","1,000","14,050.00","2,900",0.65,0.85,"2,000",-0.10,0.65,58.70,"10,920",-7,168,
,-,-,-,-,-,-,"1,250","2,128.35","2,246.50","1,000","14,100.00","9,050",0.70,0.80,"14,600",-,0.80,58.61,329,39,"1,012",
,-,-,-,-,-,-,"1,250","2,077.50","2,196.30","1,000","14,150.00","2,050",0.70,0.80,"1,200",-0.10,0.70,56.55,"4,348",14,174,
,-,-,-,-,-,-,"1,250","2,050.70","2,146.50","1,000","14,200.00","1,100",0.70,0.80,"3,900",-0.10,0.80,56.00,"2,488",-293,"8,839",
,-,-,-,-,-,-,"1,250","1,979.25","2,096.45","1,000","14,250.00","6,200",0.55,0.85,"1,800",-0.35,0.55,52.72,"1,346",-34,510,
,-,-,-,-,-,-,250,"1,962.75","2,011.60",250,"14,300.00","2,100",0.75,0.80,"2,450",-0.25,0.80,53.41,"1,843",-50,"11,124",
,-,-,-,-,-,-,"1,250","1,884.45","1,996.85","1,000","14,350.00",100,0.70,0.85,"2,400",-0.25,0.80,52.11,"6,344",-29,197,
,-,-,-,-,-,-,"1,250","1,850.80","1,946.55","1,000","14,400.00",550,0.75,0.85,"20,000",-0.40,0.75,50.49,"7,954","-2,951","5,884",
,-,-,-,-,-,-,"1,250","1,782.80","1,897.65","1,250","14,450.00",600,0.55,0.85,950,-0.45,0.65,48.50,"1,411",-78,245,
,12,2,5,-,"1,727.65",319.95,150,"1,752.00","1,811.45",150,"14,500.00","1,250",0.70,0.75,"6,250",-0.45,0.70,47.59,"41,792","-8,121","22,680",
,-,-,-,-,-,-,"1,250","1,700.40","1,794.95","1,000","14,550.00","3,350",0.55,0.85,"20,450",-0.55,0.55,45.21,"1,534",-118,"4,584",
,-,-,-,-,-,-,700,"1,664.75","1,703.45",450,"14,600.00","2,700",0.75,0.95,"2,950",-0.50,0.75,45.36,"9,232",-918,"4,364",
,-,-,-,-,-,-,"1,250","1,588.35","1,693.05","1,000","14,650.00",600,0.70,0.90,700,-0.50,0.75,44.09,946,-153,698,
,-,-,-,-,-,-,450,"1,588.40","1,607.60",450,"14,700.00",200,0.70,0.90,"2,800",-0.75,0.65,42.18,"26,523","-2,277","8,886",
,-,-,-,-,-,-,450,"1,529.75","1,564.25",450,"14,750.00","3,600",0.65,0.80,"1,250",-0.70,0.65,40.92,"9,255",-937,"4,539",
,-,-,-,-,-,-,450,"1,478.50","1,511.55",450,"14,800.00","26,000",0.85,0.95,300,-0.60,0.95,41.30,"34,588","-6,077","14,982",
,3,-,-,-,"1,150.00",-,450,"1,415.90","1,485.55",750,"14,850.00","1,350",0.90,1.15,"1,000",-0.70,0.90,39.76,"4,339",-115,"2,976",
,8,-,-,-,"1,100.00",-,450,"1,352.30","1,432.25",450,"14,900.00","1,450",1.05,1.15,"1,350",-0.65,1.05,39.14,"55,217","-5,753","8,801",
,-,-1,3,-,"1,334.05",300.75,450,"1,329.20","1,380.80",550,"14,950.00",50,1.05,1.20,150,-0.75,1.20,38.41,"11,677","-1,186","5,473",
,559,-16,378,46.50,"1,297.05",239.55,300,"1,290.65","1,309.00","3,450","15,000.00","12,150",1.30,1.35,"4,100",-0.75,1.30,37.44,"2,22,630","-26,422","41,351",
,4,-,-,-,"1,001.70",-2.10,450,"1,241.60","1,267.20",450,"15,050.00",300,1.00,1.45,"2,250",-1.30,1.00,35.01,"11,628","-1,570","3,097",
,49,-21,22,-,"1,178.75",218.25,100,"1,190.55","1,207.40",50,"15,100.00","3,900",1.15,1.35,50,-1.20,1.35,34.92,"1,58,226","-23,040","15,066",
,8,1,1,-,"1,025.00",142.95,150,"1,135.65","1,159.75",100,"15,150.00",500,1.10,1.25,150,-1.85,1.05,32.58,"28,035","-6,518","3,979",
,210,21,111,-,"1,083.70",224.65,150,"1,088.40","1,101.95",100,"15,200.00","7,500",1.30,1.50,950,-1.90,1.50,32.65,"3,15,680","-25,392","31,459",
,38,-3,5,-,970.00,159.25,450,"1,036.05","1,074.15","3,750","15,250.00","2,250",1.30,1.45,500,-2.40,1.45,31.16,"48,480","-1,494","7,253",
,147,-5,74,37.73,998.10,236.55,450,957.95,"1,002.60",250,"15,300.00",50,1.45,1.65,"1,000",-2.80,1.75,30.54,"3,36,449","-16,255","27,816",
,48,-1,11,-,937.55,216.85,100,941.65,954.10,400,"15,350.00",50,1.60,1.85,"1,500",-3.35,1.85,29.37,"83,918","-8,665","8,892",
,537,-52,233,25.99,892.20,226.40,150,894.90,903.00,150,"15,400.00","3,850",1.60,1.90,650,-4.80,1.60,27.86,"4,42,030","-4,887","41,199",
,378,-13,40,-,835.00,212.75,300,807.45,895.10,"4,400","15,450.00","23,500",1.90,2.15,500,-5.80,1.90,26.66,"1,47,724","-10,659","11,246",
,"1,396",-880,"4,513",34.08,802.30,238.30,50,797.05,802.00,50,"15,500.00","1,400",2.10,2.20,450,-7.45,2.20,25.79,"7,28,307","28,303","92,092",
,122,-53,201,26.52,745.10,228.30,150,746.15,785.15,200,"15,550.00","2,650",2.55,2.70,950,-9.50,2.55,24.89,"2,33,154","-3,889","20,347",
